,x
2017,53.0
2018,61.0
2019,74.0
2020,21.0
2021,69.0
2022,50.0
2023,26.0
2024,19.0
2025,39.0
2026,18.0
2027,34.0
2028,57.0
2029,18.0
2030,19.0
2031,21.0
2032,22.0
2033,28.0
2034,33.0
2035,51.0
2036,51.0
2037,53.0
2038,57.0
2039,65.0
2040,72.0
2041,47.0
2042,21.0
2043,32.0
2044,34.0
2045,48.0
2046,54.0
2047,58.0
2048,63.0
2049,19.0
2050,31.0
2051,38.0
2052,54.0
2053,55.0
2054,64.0
2055,67.0
2056,76.0
2057,34.0
2058,61.0
2059,56.0
2060,75.0
2061,55.0
2062,63.0
2063,23.0
2064,68.0
2065,69.0
2066,55.0
2067,66.0
2068,71.0
2069,48.0
2070,51.0
2071,60.0
2072,38.0
2073,52.0
2074,50.0
2075,56.0
2076,27.0
2077,39.0
2078,62.0
2079,20.0
2080,57.0
2081,42.0
2082,53.0
2083,69.0
2084,54.0
2085,55.0
2086,53.0
2087,51.0
2088,19.0
2089,55.0
2090,62.0
2091,41.0
2092,28.0
2093,71.0
2094,71.0
2095,58.0
2096,68.0
2097,65.0
2098,58.0
2099,48.0
2100,18.0
2101,38.0
2102,45.0
2103,59.0
2104,67.0
2105,37.0
2106,63.0
2107,44.0
2108,70.0
2109,70.0
2110,57.0
2111,71.0
2112,53.0
2113,61.0
2114,55.0
2115,60.0
2116,60.0
2117,55.0
2118,26.0
2119,55.0
2120,65.0
2121,21.0
2122,37.0
2123,40.0
2124,41.0
2125,49.0
2126,55.0
2127,60.0
2128,58.0
2129,63.0
2130,20.0
2131,59.0
2132,18.0
2133,19.0
2134,55.0
2135,59.0
2136,64.0
2137,49.0
2138,57.0
2139,62.0
