DATE,close
2023-11-06,1.2
2023-11-07,1.19
2023-11-08,0.423
2023-11-09,0.4496
2023-11-10,0.4401
2023-11-13,0.4495
2023-11-14,0.4932
2023-11-15,0.5174
2023-11-16,0.5084
2023-11-17,0.5171
2023-11-20,0.5544
2023-11-21,0.5521
2023-11-22,0.62
2023-11-24,0.6372
2023-11-27,0.6214
2023-11-28,0.65
2023-11-29,0.7395
2023-11-30,0.65
2023-12-01,0.6866
2023-12-04,0.7088
2023-12-05,0.6646
2023-12-06,0.6827
2023-12-07,0.7082
2023-12-08,0.7472
2023-12-11,0.8198
2023-12-12,0.7664
2023-12-13,0.8147
2023-12-14,0.89
2023-12-15,0.9415
2023-12-18,0.8098
2023-12-19,0.7747
2023-12-20,0.7318
2023-12-21,0.6955
2023-12-22,0.6571
2023-12-26,0.7369
2023-12-27,0.7289
2023-12-28,0.7156
2023-12-29,0.6928
2024-01-02,0.6953
2024-01-03,0.6924
2024-01-04,0.6407
2024-01-05,0.6248
2024-01-08,0.6427
2024-01-09,0.5907
2024-01-10,0.5633
2024-01-11,0.5426
2024-01-12,0.568
2024-01-16,0.5108
2024-01-17,0.4807
2024-01-18,0.4941
2024-01-19,0.526
2024-01-22,0.5655
2024-01-23,0.5672
2024-01-24,0.5298
2024-01-25,0.5301
2024-01-26,0.57
2024-01-29,0.5798
2024-01-30,0.5171
2024-01-31,0.5015
2024-02-01,0.5244
2024-02-02,0.5055
2024-02-05,0.4619
2024-02-06,0.4886
2024-02-07,0.4736
2024-02-08,0.4994
2024-02-09,0.5656
2024-02-12,0.7056
2024-02-13,0.6051
2024-02-14,0.6747
2024-02-15,0.6387
2024-02-16,0.5721
2024-02-20,0.5426
2024-02-21,0.5227
2024-02-22,0.5228
2024-02-23,0.54
2024-02-26,0.523
2024-02-27,0.546
2024-02-28,0.451
2024-02-29,0.512
2024-03-01,0.5075
2024-03-04,0.5044
2024-03-05,0.49
2024-03-06,0.4995
2024-03-07,0.5061
2024-03-08,0.5054
2024-03-11,0.476
2024-03-12,0.4568
2024-03-13,0.4747
2024-03-14,0.4449
2024-03-15,0.4415
2024-03-18,0.4973
2024-03-19,0.5372
2024-03-20,0.5465
2024-03-21,0.5777
2024-03-22,0.4682
2024-03-25,0.4792
2024-03-26,0.519
2024-03-27,0.5883
2024-03-28,0.539
2024-04-01,0.5262
2024-04-02,0.485
2024-04-03,0.5055
2024-04-04,0.5388
2024-04-05,0.552
2024-04-08,0.5275
2024-04-09,0.5357
2024-04-10,0.51
2024-04-11,0.4846
2024-04-12,0.475
2024-04-15,0.4495
2024-04-16,0.4052
2024-04-17,0.407
2024-04-18,0.3805
2024-04-19,0.3907
2024-04-22,0.3926
2024-04-23,0.4166
2024-04-24,0.4524
2024-04-25,0.4017
2024-04-26,0.4289
2024-04-29,0.4482
2024-04-30,0.46
2024-05-01,0.4471
2024-05-02,0.4663
2024-05-03,0.543
2024-05-06,0.5341
2024-05-07,0.573
2024-05-08,0.5126
2024-05-09,0.55
2024-05-10,0.4657
2024-05-13,0.4985
2024-05-14,0.5141
2024-05-15,0.5056
2024-05-16,0.4853
2024-05-17,0.4989
2024-05-20,0.5068
2024-05-21,0.472
2024-05-22,0.52
2024-05-23,0.49
2024-05-24,0.4901
2024-05-28,0.5162
2024-05-29,0.481
2024-05-30,0.4844
2024-05-31,0.5181
2024-06-03,0.5005
2024-06-04,0.488
2024-06-05,0.499
2024-06-06,0.4873
2024-06-07,0.4587
2024-06-10,0.4478
2024-06-11,0.4849
2024-06-12,0.4525
2024-06-13,0.4212
2024-06-14,0.4692
2024-06-17,0.4693
2024-06-18,0.4665
2024-06-20,0.4334
2024-06-21,0.44
2024-06-24,0.4216
2024-06-25,0.4317
2024-06-26,0.4001
2024-06-27,0.4283
2024-06-28,0.353
2024-07-01,0.3034
2024-07-02,0.3
2024-07-03,0.3034
2024-07-05,0.3208
2024-07-08,0.32
2024-07-09,0.3321
2024-07-10,0.364
2024-07-11,0.3845
2024-07-12,0.419
2024-07-15,0.4248
2024-07-16,0.415
2024-07-17,0.4212
2024-07-18,0.3891
2024-07-19,0.39
2024-07-22,0.3814
2024-07-23,0.408
2024-07-24,0.4188
2024-07-25,0.4161
2024-07-26,0.476
2024-07-29,0.402
2024-07-30,0.3822
2024-07-31,0.4177
2024-08-01,0.4107
2024-08-02,0.4001
2024-08-05,0.395
2024-08-06,0.3775
2024-08-07,0.3802
2024-08-08,0.2532
2024-08-09,0.2452
2024-08-12,0.2108
2024-08-13,0.25
2024-08-14,0.2542
2024-08-15,0.2401
2024-08-16,0.2374
2024-08-19,0.2452
2024-08-20,0.278
2024-08-21,0.2681
2024-08-22,0.2524
2024-08-23,0.2456
2024-08-26,0.2465
2024-08-27,0.2595
2024-08-28,0.2445
2024-08-29,0.2501
2024-08-30,0.2367
2024-09-03,0.2153
2024-09-04,0.2272
2024-09-05,0.217
2024-09-06,0.2051
2024-09-09,0.213
2024-09-10,0.2251
2024-09-11,0.4592
2024-09-12,0.355
2024-09-13,0.3751
2024-09-16,0.456
2024-09-17,0.5491
2024-09-18,0.494
2024-09-19,0.527
2024-09-20,0.4909
2024-09-23,0.5486
2024-09-24,0.543
2024-09-25,0.5257
2024-09-26,0.5495
2024-09-27,0.645
2024-09-30,0.6806
2024-10-01,0.5868
2024-10-02,0.5224
2024-10-03,0.52
2024-10-04,0.5262
2024-10-07,0.4849
2024-10-08,0.4543
2024-10-09,0.4628
2024-10-10,0.4525
2024-10-11,0.4497
2024-10-14,0.482
2024-10-15,0.5145
2024-10-16,0.5341
2024-10-17,0.5331
2024-10-18,0.589
2024-10-21,0.66
2024-10-22,0.633
2024-10-23,0.6558
2024-10-24,0.7057
2024-10-25,0.6614
2024-10-28,0.636
2024-10-29,0.59
2024-10-30,0.5354
2024-10-31,0.5283
2024-11-01,0.5627
2024-11-04,0.556
2024-11-05,0.58
2024-11-06,0.5344
2024-11-07,0.5041
2024-11-08,0.4871
2024-11-11,0.5212
2024-11-12,0.455
2024-11-13,0.443
2024-11-14,0.4401
2024-11-15,0.4217
2024-11-18,0.403
2024-11-19,0.4
2024-11-20,0.4
2024-11-21,0.413
2024-11-22,0.4039
2024-11-25,0.38
2024-11-26,0.36
2024-11-27,0.3273
2024-11-29,0.315
2024-12-02,3.43
2024-12-03,3.24
2024-12-04,3.03
2024-12-05,2.84
2024-12-06,3.19
2024-12-09,3.37
2024-12-10,3.78
2024-12-11,3.48
2024-12-12,3.2
2024-12-13,3.02
2024-12-16,3.34
2024-12-17,3.29
2024-12-18,3.01
2024-12-19,3.0
2024-12-20,3.11
2024-12-23,3.14
2024-12-24,3.57
2024-12-26,4.2
2024-12-27,5.3
2024-12-30,5.53
2024-12-31,5.51
2025-01-02,5.7
2025-01-03,6.06
2025-01-06,5.73
2025-01-07,5.45
2025-01-08,4.84
2025-01-10,4.75
2025-01-13,4.16
2025-01-14,4.12
2025-01-15,4.05
2025-01-16,4.14
2025-01-17,4.1
2025-01-21,3.73
2025-01-22,4.08
2025-01-23,4.23
2025-01-24,4.19
2025-01-27,3.97
2025-01-28,3.91
2025-01-29,4.07
2025-01-30,3.92
2025-01-31,3.98
2025-02-03,3.87
2025-02-04,3.88
2025-02-05,3.66
2025-02-06,3.62
2025-02-07,3.39
2025-02-10,3.41
2025-02-11,3.15
2025-02-12,3.06
2025-02-13,3.21
2025-02-14,3.38
2025-02-18,3.41
2025-02-19,3.65
2025-02-20,3.42
2025-02-21,3.25
2025-02-24,3.29
2025-02-25,3.21
2025-02-26,3.28
2025-02-27,3.1
2025-02-28,3.16
2025-03-03,2.91
2025-03-04,2.85
2025-03-05,2.93
2025-03-06,2.83
